no,tema,nama_&_nomor_surat/doa,bacaan_arab,bacaan_latin,terjemahan,bacaan_untuk_apa,rujukan_bacaan_dari,sumber_refrensi
2.0,Perasaan,QS. Thāhā (20): 25‑28,رَبِّ اشْرَحْ لِي صَدْرِي، وَيَسِّرْ لِي أَمْرِي، وَاحْلُلْ عُقْدَةً مِّن لِسَانِي، يَفْقَهُوا قَوْلِي,"Rabbisy raḥli ṣadrī, wa yassir lī amrī, waḥḥlul ’uqdata mīn lisānī, yafqahū qawlī","“Ya Tuhanku, lapangkanlah dadaku, mudahkanlah urusanku, lepaskanlah kekakuan dari lidahku, agar mereka faham perkataanku.”",Doa Nabi Musa AS – Permohonan kelapangan dada,Rasulullah SAW,"tafsirweb.com, quran.kemenag.go.id"
2.0,Perasaan,QS. Al-Insyirah (94): 6,فَإِنَّ مَعَ الْعُسْرِ يُسْرًا,Fa inna ma‘al ‘usri yusra,“Sesungguhnya bersama kesulitan ada kemudahan.”,Menenangkan hati di saat galau atau berat,Ibnu Katsir,https://www.dompetdhuafa.org
2.0,Perasaan,QS. Ali-Imran (3): 139,وَلَا تَهِنُوا وَلَا تَحْزَنُوا وَأَنْتُمْ الْأَعْلَوْنَ إِنْ كُنْتُمْ مُؤْمِنِينَ,Wa lā tahinū wa lā taḥzanū wa antum al-a‘lawna in kuntum mu’minīn,"“Janganlah kamu lemah dan sedih, padahal kamu paling tinggi jika kamu beriman.”",Meningkatkan semangat dan kepercayaan diri,Al-Muyassar,quran.kemenag.go.id
2.0,Perasaan,QS. Ar-Ra’d (13): 28,أَلَا بِذِكْرِ اللَّهِ تَطْمَئِنُّ الْقُلُوبُ,Alā bidhikri Allāhi taṭma’innu al-qulūb,"“Ingatlah, hanya dengan mengingat Allah hati menjadi tenteram.”",Menghilangkan cemas dan menenangkan pikiran,Al-Jalalayn,Tafsirweb.com
2.0,Perasaan,QS. Al-Baqarah (2): 286 (bagian doa),رَبَّنَا لَا تُؤَاخِذْنَا إِنْ نَسِينَا...,Rabbana lā tu’ākhidhna in nasīna...,"“Ya Tuhan kami, janganlah Engkau hukum kami jika kami lupa...”","Mohon ampunan, pertolongan, dan ketenangan jiwa",Ibnu Katsir,https://tafsirweb.com/112-quran-surat-al-baqarah-ayat-286.html
2.0,Perasaan,QS. Al-Baqarah (2): 250,رَبَّنَا أَفْرِغْ عَلَيْنَا صَبْراً وَثَبِّتْ أَقْدَامَنَا وَانْصُرْنَا...,Rabbana afrig ‘alaynā ṣabran wa thabbit aqdāmana wa-nṣurnā…,"“Ya Tuhan kami, limpahkanlah kesabaran kepada kami... dan tolonglah kami menghadapi musuh.”",Memohon kesabaran dan pertolongan dalam ujian,"As-Sa'di,",https://tafsirweb.com/76-quran-surat-al-baqarah-ayat-250
2.0,Perasaan,QS. Yunus (10): 12,رَبِّ إِنِّي مَغْلُوبٌ فَانتَصِرْ,Rabbi innī maghlūbun fantaṣir,"“Ya Tuhanku, sesungguhnya aku dalam keadaan tertimpa, maka tolonglah aku.”","Doa saat tertekan, teraniaya, butuh pertolongan",Imam Ath-Thabari,"altafsir.com, tafsirweb.com"
2.0,Perasaan,QS. At-Taubah: 51,قُل لَّن يُصِيبَنَآ إِلَّا مَا كَتَبَ ٱللَّهُ لَنَا هُوَ مَوْلَىٰنَا ۚ وَعَلَى ٱللَّهِ فَلْيَتَوَكَّلِ ٱلْمُؤْمِنُونَ,Qul lan yushībanā illā mā kataba Allāhu lanā huwa mawlānā wa ‘ala Allāhi falyatawakkalil-mu’minūn,"Katakanlah, “Tidak akan menimpa kami melainkan apa yang telah ditetapkan Allah bagi kami.”",Saat merasa sedih dan pasrah,,quran.kemenag.go.id
2.0,Perasaan,QS. Ar-Ra’d: 28,	ٱلَّذِينَ ءَامَنُوا۟ وَتَطْمَئِنُّ قُلُوبُهُم بِذِكْرِ ٱللَّهِ ۗ أَلَا بِذِكْرِ ٱللَّهِ تَطْمَئِنُّ ٱلْقُلُوبُ,"Alladzīna āmanū wa tatma’innu qulūbuhum bi dzikrillāh, alā bi dzikrillāhi tatma’innu al-qulūb",Orang-orang yang beriman dan hati mereka menjadi tenteram,,,tafsirweb.com
2.0,Perasaan,Doa Nabi Muhammad SAW,اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْهَمِّ وَالْحَزَنِ,Allāhumma innī a‘ūdzu bika minal-hammi wal-ḥazan,"Ya Allah, aku berlindung kepada-Mu dari kegelisahan dan kesedihan.",Meredakan gelisah & resah,Hadis Nabi SAW (HR. Abu Dawud),quran.kemenag.go.id
2.0,Perasaan,QS. Yusuf: 86,إِنَّمَا أَشْكُو بَثِّي وَحُزْنِي إِلَى اللَّهِ,Innamā asykū batstsī wa ḥuznī ilallāh,Sesungguhnya aku hanya mengadukan kesusahan dan kesedihanku kepada Allah.,Menenangkan hati karena rindu,,quran.kemenag.go.id
3.0,Jodoh,QS. An-Nūr 24:26,الطَّيِّبَاتُ لِلطَّيِّبِينَ,Aṭ-ṭayyibātu liṭ-ṭayyibīn,Wanita-wanita yang baik untuk laki-laki yang baik.,Meyakini bahwa jodoh adalah cerminan diri,Tafsir Al-Muyassar,https://tafsirq.com/24-an-nur/ayat-26
3.0,Jodoh,QS. Al-Furqan (25): 74,وَالَّذِينَ يَقُولُونَ رَبَّنَا هَبْ لَنَا مِنْ أَزْوَٰجِنَا وَذُرِّيَّاتِنَا قُرَّةَ أَعْيُنٍ وَٱجْعَلْنَا لِلْمُتَّقِينَ إِمَامًا,Walladhīna yaqūlūna rabbanaa hab lanā min azwājinaa wa dhurriyyātinaa qurrata a’yunin waj’alnaa lilmuttaqīna imāma,"“Dan orang-orang yang berkata: ‘Ya Tuhan kami, anugerahkanlah kepada kami istri-istri kami dan keturunan kami sebagai penyejuk hati, dan jadikanlah kami imam bagi orang-orang yang bertakwa.’”",Memohon pasangan hidup dan keturunan yang membawa ketenangan hati serta menjadi contoh kebaikan,Ustadz Khalid Basalamah,"https://myislam.org/surah-furqan/ayat-74/#:~:text=And%20those%20who%20say%2C%20%E2%80%9COur,)%20to%20lead%20the%20righteous.%E2%80%9D"
3.0,Jodoh,QS. Ar-Rūm 30:21,وَمِنْ ءَايَـٰتِهِۦٓ أَنْ خَلَقَ لَكُم مِّنْ أَنفُسِكُمْ أَزْوَٰجًۭا لِّتَسْكُنُوٓا۟ إِلَيْهَا وَجَعَلَ بَيْنَكُم مَّوَدَّةًۭ وَرَحْمَةً ۚ إِنَّ فِى ذَٰلِكَ لَـَٔايَـٰتٍۢ لِّقَوْمٍۢ يَتَفَكَّرُونَ ٢١,Wa min āyātihī an khalaqa lakum...,"""Dan di antara tanda-tanda kekuasaan-Nya ialah Dia menciptakan untukmu pasangan dari jenismu sendiri agar kamu cenderung dan merasa tenteram kepadanya...""",Memohon pasangan yang cocok,Nabi Muhammad SAW,https://quran.com/id/ar-rum/21
3.0,Jodoh,QS. Yūsuf 12:55,قَالَ ٱجۡعَلۡنِي عَلَىٰ خَزَآئِنِ ٱلۡأَرۡضِۖ إِنِّي حَفِيظٌ عَلِيمٞ,"Qāla ij‘alnī ‘alā khazā’inil-arḍ, innī ḥafīẓun ‘alīm.","Ia (Yusuf) berkata, ""Jadikanlah aku bendaharawan negeri (ini); sesungguhnya aku adalah orang yang pandai menjaga lagi berpengetahuan.""",Kesiapan Menikah (Doa agar siap tanggung jawab),Ibnu Katsir,https://quran.com/id/yusuf/55
3.0,Jodoh,QS. An-Nur (24): 32,وَأَنكِحُوا الْأَيَامَىٰ مِنكُمْ وَالصَّالِحِينَ مِنْ عِبَادِكُمْ وَإِمَائِكُمْ ۚ إِن يَكُونُوا فُقَرَاءَ يُغْنِهِمُ اللَّهُ مِن فَضْلِهِ ۗ وَاللَّهُ وَاسِعٌ عَلِيمٌ,Wa ankiḥul ayamā minkum waṣ-ṣāliḥīna min ‘ibādikum wa imā’ikum in yakūnū fuqaraā’ yughnīhimullāhu min faḍlihi wallāhu wāsi’un ‘alīm,“Dan nikahkanlah orang-orang yang sendirian di antara kamu dan orang-orang yang layak (menikah) di antara hamba sahayamu...”,Memohon agar Allah memberikan kemudahan dan kecukupan dalam menikah.,Ustad Abdul Somad,https://ejournal.radenintan.ac.id/index.php/al-dzikra/article/download/7010/4003
3.0,Jodoh,QS. Al-Anbiya (21): 89,وَزَكَرِيَّآ إِذْ نَادَىٰ رَبَّهُۥ رَبِّ لَا تَذَرْنِى فَرْدًۭا وَأَنتَ خَيْرُ ٱلْوَٰرِثِينَ,Wa Zakariyyā idh nādā rabbahu rabbi lā tadharni fardan wa anta khayru al-wārithīn,"""Dan (ingatlah kisah) Zakaria, ketika ia menyeru Tuhannya: 'Ya Tuhanku, janganlah Engkau membiarkan aku hidup seorang diri dan Engkaulah Waris yang paling baik.'""","Doa ini mencerminkan kerendahan hati dan pengharapan penuh kepada Allah dalam urusan jodoh.Doa ini dipanjatkan oleh Nabi Zakaria untuk memohon keturunan.

",Nabi Zakaria,https://bincangmuslimah.com/ibadah/tiga-doa-dalam-al-quran-yang-bisa-mendekatkan-jodoh-27105/
3.0,Jodoh,QS. Al-Qashash (28): 24,رَبِّ إِنِّي لِمَا أَنْزَلْتَ إِلَيَّ مِنْ خَيْرٍ فَقِيرٌ,Rabbi innī limā anzalta ilayya min khayrin faqīr,"""Ya Tuhanku, sesungguhnya aku sangat memerlukan sesuatu kebaikan yang Engkau turunkan kepadaku.""","Doa ini dipanjatkan oleh Nabi Musa ketika beliau berada dalam kesulitan setelah melarikan diri dari Mesir. Dalam konteks mencari jodoh, doa ini dapat diamalkan untuk memohon kepada Allah agar diberikan pasangan hidup yang baik sebagai bagian dari kebaikan yang diturunkan-Nya","Nabi Musa, Habib Abdullah bin Abdurrahman Al-Muhdhar",https://bincangmuslimah.com/ibadah/tiga-doa-dalam-al-quran-yang-bisa-mendekatkan-jodoh-27105/
3.0,Jodoh,Doa meminta jodoh terbaik,رَبَّنَا هَبْ لَنَا مِنْ اَزْوَاجِنَا وَذُرِّيّٰتِنَا قُرَّةَ اَعْيُنٍ وَّاجْعَلْنَا لِلْمُتَّقِيْنَ اِمَامًا,Rabbanaa hab lanaa min azwaajinaa wa zurriyyatinaa qurrota a’yun.,"“Ya Tuhan kami, anugerahkanlah kepada kami pasangan kami dan keturunan kami sebagai penyenang hati (kami), dan jadikanlah kami pemimpin bagi orang-orang yang bertakwa.”",Doa meminta jodoh terbaik,Habib Abdullah bin ʿAbdurraḥmān Al‑Muḥḍar,https://narasi.tv/read/narasi-daily/doa-meminta-jodoh-terbaik-menurut-islam-lengkap-dengan-lafal-arab-dan-terjemahannya
3.0,Jodoh,Doa meminta jodoh untuk laki-laki,رَبِّ هَبْ لِي مِنْ لَدُنْكَ زَوْجَةً طَيِّبَةً أَخْطُبُهَا وَأَتَزَوَّجُ بِهَا وَتَكُوْنُ صَاحِبَةً لِى فِى الدِّيْنِ وَالدُنْيَا وَالْأَخِرَةِ,Robbi hablii milladunka zaujatan thoyyibah akhtubuhaa wa atazawwaju biha watakunu shoohibatan lii fiddiini waddunyaa wal aakhiroh.,"""Ya Robb, berikanlah kepadaku istri yang terbaik dari sisi-Mu, istri yang aku lamar dan nikahi dan istri yang menjadi sahabatku dalam urusan agama, urusan dunia dan akhirat.”",Doa meminta jodoh untuk laki-laki,Habib Abdullah bin ʿAbdurraḥmān Al‑Muḥḍar,https://narasi.tv/read/narasi-daily/doa-meminta-jodoh-terbaik-menurut-islam-lengkap-dengan-lafal-arab-dan-terjemahannya
3.0,Jodoh,Doa meminta jodoh untuk perempuan,رَبِّ هَبْ لِي مِنْ لَدُنْكَ زَوْجًا طَيِّبًا وَيَكُوْنُ صَاحِبًا لِى فِى الدِّيْنِ وَالدُنْيَا وَالْأَخِرَة,"Robbi hablii milladunka zaujan thoyyiban, wayakuuna shoohiban, lii fiddiini waddunyaa wal aakhiroh.","“Ya Robb, berikanlah kepadaku suami yang terbaik dari sisi-Mu, suami yang juga menjadi sahabatku dalam urusan agama, urusan dunia dan akhirat.”",Doa meminta jodoh untuk perempuan,Habib Abdullah bin ʿAbdurraḥmān Al‑Muḥḍar,https://narasi.tv/read/narasi-daily/doa-meminta-jodoh-terbaik-menurut-islam-lengkap-dengan-lafal-arab-dan-terjemahannya
3.0,Jodoh,Doa meminta jodoh untuk yang sudah lama menunggu,رَبِّ لَا تَذَرْنِى فَرْدًا وَأَنتَ خَيْرُ ٱلْوَٰرِثِين,Rabbi laa tadzarni fardan wa anta khoirul waritsina.,"""Tuhanku, janganlah Engkau biarkan aku hidup seorang diri dan Engkaulah Zat Maha Waris Paling Baik.""",Doa meminta jodoh untuk yang sudah lama menunggu,Habib Abdullah bin ʿAbdurraḥmān Al‑Muḥḍar,https://narasi.tv/read/narasi-daily/doa-meminta-jodoh-terbaik-menurut-islam-lengkap-dengan-lafal-arab-dan-terjemahannya
3.0,Jodoh,QS. Al-A'raf (7): 189,هُوَ ٱلَّذِى خَلَقَكُم مِّن نَّفْسٍۢ وَٰحِدَةٍۢ وَجَعَلَ مِنْهَا زَوْجَهَا لِيَسْكُنَ إِلَيْهَا,Huwa alladhī khalaqakum min nafsin wāḥidah waja‘ala minhā zawjahā liyas kun ilayhā,"""Dia-lah yang menciptakan kamu dari seorang diri, dan (Dia) menjadikan dari padanya pasangannya, agar dia merasa tenteram kepadanya.""","Ayat ini sering dijadikan dasar doa untuk memohon keberkahan dalam jodoh yang diciptakan Allah, agar menjadi pasangan yang saling melengkapi dan membawa ketenangan (sakinah). Doa ini relevan bagi siapa pun yang menginginkan jodoh yang diridhai Allah dan membangun rumah tangga yang harmonis.",KH Bisri Mustofa,https://e-journal.metrouniv.ac.id/nizham/article/download/7208/3662/28762?utm_source=chatgpt.com
3.0,Jodoh,,,,,,,
4.0,Kehidupan Setelah di Dunia,QS. Al‑Ankabut (29):64,وَمَا هٰذِهِ الْحَيٰوَةُ الدُّنْيَآ إِلَّا لَهْوٌ وَلَعِبٌ وَإِنَّالدَّارَ الْاٰخِرَةَ لَهِيَ الْحَيَٰوَانُ لَوْ كَانُوا۟ يَعْلَمُونَ,Wa ma hādhihi al-ḥayātu ad-dunyā illā lahwun wa la‘ib wa inna ad-dāral-ākhirata lahī al-ḥayawān lau kānū ya‘lamūn.,“Dan tiadalah kehidupan dunia ini selain senda-gurau dan permainan; sedangkan akhirat itulah kehidupan sejati jika mereka mengetahui.”,Untuk mengingat bahwa dunia bersifat sementara dan mempersiapkan hati untuk kehidupan akhirat.,"Ulama tafsir, Ar‑Raghib al‑Ashfahani",https://iqra.republika.co.id/berita/s6qs34320/4-istilah-yang-digunakan-alquran-untuk-menyebut-kehidupan-akhirat
4.0,Kehidupan Setelah di Dunia,QS. Al‑Baqarah (2):201,وَمِنْهُمْ مَّن يَقُولُ رَبَّنَا آتِنَا فِي الدُّنْيَا حَسَنَةً وَفِي الآخِرَةِ حَسَنَةً وَقِنَا عَذَابَ النَّارِ,Wa minhum man yaqūlu rabbana ātinā fid-dunyā ḥasanatan wa fil-ākhirati ḥasanatan wa qinā ‘adhāban-nār.,"“Ya Tuhan kami, berilah kami kebaikan di dunia dan akhirat, dan lindungilah kami dari siksa neraka.”",Agar hidup diberkahi di dunia dan akhirat serta terhindar dari azab neraka.,Rasulullah ﷺ (HR. Bukhari & Muslim),https://tafsirweb.com/727-surat-al-baqarah-ayat-201.html
4.0,Kehidupan Setelah di Dunia,HR. Muslim No.2720,  اللَّهُمَّ أَصْلِحْ لِي دِينِي وَدُنْيَايَ وَآخِرَتِي وَأَعْمَالِي وَأَهْلِي وَمَالِي وَبَلَّغْنِي رِضَاكَ وَاجْعَلِ الْمَوْتَ رَاحَةً لِي مِنْ كُلِّ شَرٍّ,Allāhumma aṣliḥ lī dīnī wa dunyāya wa ākhiroti wa a‘mālī wa ahlī wa mālī wa ballighnī riḍāk wa ja‘alil-mawta rāḥatan lī min kulli sharr.,"“Ya Allah, perbaikilah agamaku, duniaku, akhiratku, amalanku, keluargaku & hartaku, capailah ridha-Mu, dan jadikan kematian sebagai ketenangan dari segala kejahatan.”",Agar hidup bermanfaat dan kematian membawa ketenangan serta keselamatan.,Rasulullah ﷺ (HR. Muslim 2720),https://rumaysho.com/986-doa-untuk-memperbaiki-urusan-agama-dan-dunia.html
4.0,Kehidupan Setelah di Dunia,Doa keselamatan (Ath-Thibi),اللَّهُمَّ إِنِّي أَسْأَلُكَ الْعَفْوَ وَالْعَافِيَةَ فِي الدُّنْيَا وَالْآخِرَةِ,Allahumma innī as'aluka al-ʿafwa wa al-ʿāfiyata fid-dunyā wa al-ākhirah,"""Ya Allah, aku memohon kepada-Mu ampunan dan keselamatan di dunia dan akhirat.""",Agar mendapatkan kesejahteraan utuh dan terlindung di dunia & akhirat.,Rasulullah ﷺ ,https://almanhaj.or.id/66211-seharusnya-memohon-keselamatan-dunia-dan-akhirat.html
4.0,Kehidupan Setelah di Dunia,QS. An-Nisa’ (4):126,  وَلِلَّهِ مَا فِي السَّمَاوَاتِ وَمَا فِي الْأَرْضِ ۗ وَكَانَ اللَّهُ بِكُلِّ شَيْءٍ مُحِيطًا,Wa lillāhi mā fī as-samāwāti wa mā fī al-arḍi wa kāna Allahu bikulli shay’in muḥīṭan.,“Kepunyaan Allah apa yang di langit dan di bumi; dan Allah Maha Menguasai segala sesuatu.”,Agar meyakini bahwa semua urusan dunia dan akhirat berada di tangan Allah.,"Ibnu Katsīr, Wahbah az-Zuhailī",https://tafsirweb.com/1658-surat-an-nisa-ayat-126.html
